ID,Project_ID,Project_Title,Donor_or_Lender,CIDA_Donor_Format,Multi_Single,Partner,Total_Cost,Currency_used,Sector_Code,Total_disbursement_to_date,Project_funding_type,Approval_Date,Name_of_Implementing_Agency,Telephone_for_EA,Fax_for_EA,www_address,Targeted_Beneficiaries(HH),Targeted_individuals,Targeted_Group,Address,Email,Objective,Components,Planned_Project_Outputs,Indicators,Start_Date,Completion_Date,Date_of_data_entry,District_Coverage
34,34,Support to GOM Inputs and Maize Markets Interventions 2007-11,"DFID, NORAD, EU",,,,44429642,5,31150,NO UPDATE AVAILABLE,3,10/01/2007,Ministry of Agriculture and Food Security (MoAFS),01 789 033/037,,www.moafsmw.org,3000000,0,Smallholder farmers,"Box 30134, Lilongwe3",c-phiri@dfid.gov.uk,"1. To improve food security, reduce incidence of hunger  and accelerate growth in agricultural productivity _x000D_
_x000D_
2. To increase Agricultural production and develop  fertilizer,  seed and maize markets","1. Seed subsidy_x000D_
_x000D_
2. Support to enable private sector participation (including unsold fertilizer financing and remoteness incentive)_x000D_
_x000D_
3. Maize price risk mitigation (maize SAFEX options, weather insurance, and warehouse receipts system)_x000D_
_x000D_
4. Logistics, Monitoring and Evaluation","1. The private sector network participates in the implementation of the GoM inputs subsidy scheme _x000D_
_x000D_
2. Fertilizer and improved seed uptake by smallholder farmers is increased_x000D_
_x000D_
3. Timely access to maize stocks in times of need is increased_x000D_
_x000D_
4. Planning, budgeting and implementation of maize and input markets interventions is improved","1. No of private sector outlets selling subsidized fertilizer increases by 10% per annum during _x000D_
_x000D_
2. Private sector subsidised sales in remote areas increase to 20% of the total _x000D_
_x000D_
3. Volume of maize fertilisers sold increases 10% p.a. during 2007-11 (2001-05: average 100,000 MT)_x000D_
_x000D_
4. Summer crop smallholder hectarage for maize is at least 35% hybrid seed and 35% other improved seed (compared to 22% and 34% in 2005/06 respectively)._x000D_
_x000D_
5. Through a combination of weather insurance and derivative-based instruments GoM has access to at least 80,000 tons of additional maize at the onset of each year’s lean season at prices agreed six months earlier – at least 100,000 tons following a bad rainy season._x000D_
_x000D_
6. Through a warehouse receipts system private sector stocks of at least 100,000 tons are formalised._x000D_
_x000D_
7. Detailed plans for implementation of maize and input interventions agreed by mid-June each year and accurately reflected in the budget_x000D_
_x000D_
8. Ditribution of vouchers to all beneficiaries completed before end of September every year – subsidised fertilizer sales completed by end of December every year_x000D_
_x000D_
9. Expenditure out-turn for inputs subsidy and maize market interventions in surplus years within an annual average of 5% of approved budget through 2007-11.  Out-turn for maize interventions in deficit years within 20% of approved budget._x000D_
_x000D_
10. Part of the Agricultural Development Programme – donor funding accurately reflected in the budget.",10/01/2007,12/31/2011,01/29/2010,Country-wide
35,35,Kafulu Area Development Programme,World Vision Australia,World Vision Australia,Single Donor,,993599,5,43040,"392,187",3,10/01/1995,World Vision Malawi (WVM),01 286 232,01 286 467,www.wvi.org,3550,24850,"Smallholder farmers, Women, orphans and vulnerable children","P/B 10 Mponela, Dowa",elarton_thawani@wvi.org,1. Improved quality of life people of Kafulu by project end.,"1. Agriculture._x000D_
_x000D_
2. Health._x000D_
_x000D_
3. Education.","1. Increased quality of education _x000D_
_x000D_
2. Reduced illiteracy among people of Kafulu from 41% to 15% _x000D_
_x000D_
3.  Improved household food security from 11% to 50%","1. Percentage of boys and girls aged 6 - 11 years enrolled in primary school_x000D_
_x000D_
2. Mean level of education completed by boys and girls aged 13 years_x000D_
_x000D_
3. Percentage decrease in malnutrition among boys and girls aged 13 years_x000D_
_x000D_
4. Percentage of boys and girls aged 6-59 months stunted",10/01/1995,09/30/2012,02/22/2010,Dowa
36,36,Mphompa Area Development Programme,World Vision Canada,World Vision Canada,Single Donor,,8108,5,43040,"2,014",3,10/01/1998,World Vision Malawi (WVM),01 372 260,01 334 150,www.wvi.org,1500,7500,Rural households,"P/Bag 29, Rumphi",jacob_mazibuko@wvi.org,1. Improved living standards for people in Mphompha Area by project end.,"1. Food security._x000D_
_x000D_
2. Nutrition._x000D_
_x000D_
3. Agriculture commercialization.","1. Increased knowledge in crop production and diversification, food processing , utilization and preservation._x000D_
_x000D_
2. Increased adoption of high yielding seed varieties. _x000D_
_x000D_
3. Increased consumption of nutritious and energy dense food._x000D_
_x000D_
4. Enhanced market value chains through farmer processor consumer network._x000D_
_x000D_
5. Enhanced savings and mobilization.","1. Percentage of households with increased knowledge in crop production, food processing, utilization and preservation_x000D_
_x000D_
2. Percentage of households adopting to high yielding crops._x000D_
_x000D_
3. Percentage reduction in malnutrition rates of vulnerable families._x000D_
_x000D_
4. Percentage of business support services actively involved in promoting farmer value chains._x000D_
_x000D_
5. Percentage of farmers involved in savings and credit mobilization.",10/01/1998,09/30/2013,02/22/2010,"Rumphi, Mzimba"
37,37,Mlolo Area Development Programme,World Vision Australia,World Vision Australia,Single Donor,Government of Malawi (GoM),24188,5,43040,0,3,10/01/2009,World Vision Malawi (WVM),01 420 380,01 420 202,www.wvi.org,4600,23000,Children and other vulnerable groups," P.O. Box 2050,  Blantyre",peter_makhunje@wvi.org,"1. To improve household food security_x000D_
_x000D_
2. To improve community resilience to natural disasters","1. Crop production_x000D_
_x000D_
2. Livestock production_x000D_
_x000D_
3. Disaster management","1. 2200 households engaged in diversified food & cash crop production and processing_x000D_
_x000D_
2. 900 new households engaged in animal production through livestock revolving programme_x000D_
_x000D_
3. 350 farmer club executive members trained in association management_x000D_
_x000D_
4. Impacts of flood disasters in 9 villages responded to and sustainably mitigated"," 1. Percentage reduction in level of malnutrition_x000D_
_x000D_
2. Percentage increase in real household income",10/01/2009,09/30/2010,02/12/2010,Nsanje
38,38,Namachete Area Development Programme,World Vision UK,World Vision of UK,Single Donor,,1347000,5,43040,"915,881",3,10/01/1999,World Vision Malawi (WVM),01 525 868,01 526 429,www.wvi.org,8220,42388,Rural farmers,"Namachete ADP, P O Box 650, Zomba",Harry_wala@wvi.org,1. To improve income levels and household food security,"1. Small scale Irrigation._x000D_
_x000D_
2. Market reserch._x000D_
_x000D_
3. Small scale irrigation._x000D_
_x000D_
4. Livestock production_x000D_
_x000D_
5. Rice production _x000D_
_x000D_
6. Strengthening of farmer organization","1. Access to market among CBOs and association increased._x000D_
_x000D_
2. Livestock production promoted._x000D_
_x000D_
3. Area of land under irrigation increased._x000D_
_x000D_
4. Rice production per unit area increased_x000D_
_x000D_
5. Management of farmer's organization improved","1. Number of farmer organizations linked to reliable markets_x000D_
_x000D_
2. Area of land under irrigation_x000D_
_x000D_
3. Annual rice production_x000D_
_x000D_
4. Average number of livestock owned per households_x000D_
_x000D_
5. Number of farmer organizations functioning",10/01/1999,09/30/2014,02/08/2010,Zomba
39,39,Chikwina/Mpamba Area Development Programme,World Vision USA,World Vision of United States of America,Single Donor,,908146,5,43040,"45,407",3,01/01/2010,World Vision Malawi (WVM),01 310 110,01 310 110,www.wvi.org,4000,0,"Rural farmers, women and orphans.","Box 610, Mzuzu",Anne_kumwenda@wvi.org,1. To improve food security for 1440 households in Chikwina/Mpamba area by the year 2017.,"1. Nutrition_x000D_
_x000D_
2. Agri business_x000D_
_x000D_
3. Natural Resources Management.","1. Farming families equiped with improved and modern farming technologies._x000D_
_x000D_
2. Sustainability of farmers organization_x000D_
_x000D_
3. Community savings and banking schemes established at community level_x000D_
_x000D_
4. Improved soil and water conservation.","1. Percentage of children under 5 that are stunted._x000D_
_x000D_
2. Perceentage of households that are resilient (never use a coping mechanism to deal with hunger situation)._x000D_
_x000D_
3. Number of houseolds eating 6 food groups_x000D_
_x000D_
4. Number of farmers using modern farming technologies_x000D_
_x000D_
5. Proportion of households with sustained asset accumulation_x000D_
_x000D_
6. Proportion of farmers adequately managing natural resources",10/01/1996,09/30/2014,02/08/2010,Nkhatabay
40,40,Wovwe Area Development Programme,World Vision Canada,World Vision Canada,Single Donor,,98870,5,43040,"26,903",3,10/01/1999,World Vision Malawi (WVM),01 362 493,01 334 296,www.wvi.org,6000,34000,Rural farmers,"Box 335, Karonga",caswell_mtunda@wvi.org,1.To improve the quality of health status of Wovwe community.,"1. Nutrition._x000D_
_x000D_
2. Natural resources management._x000D_
_x000D_
3. Livelihood food security.","1. Optimal feeding practices for infants and under 5 children promoted_x000D_
_x000D_
2. Farmers trained in soil and water conservation practices_x000D_
_x000D_
3. Farmers trained in post harvest storage technologies_x000D_
_x000D_
4. Livestock production promotes","1. Percentage reduction in malnutrition_x000D_
_x000D_
2. Percentage of land conserved._x000D_
_x000D_
3. Proportionof farmers correctly managing their harvests.",10/01/1999,09/30/2010,02/08/2010,Karonga
41,41,Chingale/Nthondo ADP Fish Farming,World Vision USA,,,,660000,5,31120,"254,680",3,07/01/2007,World Vision Malawi (MVM),01 525 868,01 526 429,www.wvi.org,2020,10100,"Smallholder farmers, OVC households, elderly, PLWHAs.","P.O. Box 650, Zomba",harry_wala@wvi.org,To enhance household income and food security status among households,"1. Fish farming in pond_x000D_
_x000D_
2. Vegetable production  _x000D_
_x000D_
3. Livestock (integration)","1. Increase number of household doing fish farming_x000D_
_x000D_
2. Percentage of households in the impact area growing vegetable_x000D_
_x000D_
3. Increased number of livestock at household level","1. Number of ponds constructed_x000D_
_x000D_
2. Number of livestock per household",10/01/2005,12/31/2011,02/22/2010,Zomba
42,42,Senzani Area Development Programme,World Vision USA,World Vision of United States of America,Single Donor,,4206324,5,43040,"3,972,951",3,10/01/1995,World Vision Malawi (WVM),01 545 291,01 545 291,www.wvi.org,0,33000,"Rural farmers, women and orphans","Box 544, Balaka",asaph_muula@wvi.org,"1. To increase food availability by all housheolds._x000D_
_x000D_
2. Promotion of small stocks.","1. Food Security._x000D_
_x000D_
2. Livestock Production.","1. Livestock improved through cross breeding._x000D_
_x000D_
2. Crop diversification.","1. Number of households with food available year round._x000D_
_x000D_
2. Number and types of livestock",10/01/1995,09/30/2010,01/04/2010,Ntcheu
43,43,Capacity Building of Farmers Union of Malawi (FUM),Swedish Cooperative Center (SCC),Swedish Cooperative Center (SCC),Single Donor,,90000000,7,15050,"75,000,000",3,12/01/2003,Farmers Union of Malawi (FUM),01 750 222/229,01 750 228,www.farmersunion.org,0,40000,Farmers belonging to commodity associations," P.O Box 1947, Lilongwe",info@farmersunion.mw,1. To enable Farmers Union of Malawi to be a mouthpiece and service provider for affiliated farmers’ commodity associations in Malawi.,"1. Developing policies for commodity associations and the Farmers Union._x000D_
_x000D_
2. Lobbying for conducive policies for farmers and farming in Malawi._x000D_
_x000D_
3. Facilitating the establishment of National Farmers’ Associations._x000D_
_x000D_
4. Assisting associations and their affiliates in market development.",,"1. Policy documents of FUM and Commodity Associations._x000D_
_x000D_
2. Establishment of New national commodity associations.",01/01/2004,12/31/2013,01/20/2010,Country-Wide
44,44,Supporting and Mitigating the Impact of HIV/AIDS For Livelihood Enhancement Programme (SMIHLE),AuSAID,AusAid,Single Donor,,2808423,6,13040,"2,770,100",3,11/04/2003,CARE Malawi,01 775 846,01 772 174,www.caremalawi.org,30000,165000,Vulnerable households due to HIV/AIDS," P/ Bag A89, Lilongwe",care@caremalawi.org,"1. To develop replicable models and practices that strengthen the service response of CBOs, CSOs, government and the private sector to mitigate the impact of HIV/AIDS on food security.","1. Dissemination of information, lessons and experiences to partners. _x000D_
_x000D_
2. Training and capacity building of CBOs on mitigation of the impacts of HIV/Aids on food security, quality of service delivery to vulnerable households through implementation of a seed revolving fund, marketing initiatives, savings and loans program, etc. _x000D_
_x000D_
3. Establishment of linkages between community level and decentralized governance structures._x000D_
_x000D_
4. Interaction with multisectoral HIV/Aids networks as a channel for sharing and learning lessons about success and difficulties encountered to mitigate the impact of HIV/Aids._x000D_
_x000D_
5. Facilitation of adoption of successful models e.g. the village savings and loans methodology._x000D_
_x000D_
6.  Inputing into monitoring the government budget on agriculture extension._x000D_
_x000D_
7. Food security and Nutrition policy  through affiliation with CISANET.","1. Improving knowledge and understanding of the relationships between HIV/Aids and food security._x000D_
_x000D_
2. Strengthening CBOs to manage food security activities that mitigate the impact of HIV/Aids._x000D_
 _x000D_
3. Strengthening linkages between CSOs, CBOs, Govt and the private sector to facilitate responsive service delivery.","1. Four models and practices adopted and adapted by CSOs and Government.  _x000D_
_x000D_
2. 50 % of vulnerable  households (including those affected by HIV/AIDS) with improved food security.",07/01/2004,12/31/2010,01/12/2010,"Lilongwe, Dowa"
45,45,Bua Mtete Area Development Pprogramme,World Vision Korea,,,,367925,5,31120,"294,340",3,03/01/2006,World Vision Malawi (WVM),01 242 313/276,01 242 313,www.wvi.org,6975,34000,Rural farmers,"P/Bag 19, Mchinji",Lamech_chimphero@wvi.org,To improve the livelihood of  households in the targeted area,"1. Food Security_x000D_
_x000D_
2. Civil society","1. Number of households with food throughout the year increased_x000D_
_x000D_
2. Uptake of animal products raised at household level_x000D_
_x000D_
3. Number of households with steady income through agriculture_x000D_
_x000D_
4. Irrigation and fish farminig are intergrated_x000D_
_x000D_
5. Number of livestock units per households_x000D_
_x000D_
6. Improved capacity of grassroot organization.","1. Household income increase _x000D_
_x000D_
2. Number of dairy cows in the impact area_x000D_
_x000D_
3. Number of households involved in mushroom production_x000D_
_x000D_
4. Number of HIV/AIDS affected households in an impact area involved in productive enterprises",10/01/2006,09/01/2022,02/08/2010,Mchinji
46,46,Sustainable Livelihood Security,Hunger Project Globe,The Hunger Project Global Office – New York,,,5720000,5,43020,"4,970,000",3,01/01/1999,The Hunger Project Malawi (THPM),01 844 699/ 01 841 114,01 845 764,www.thp.org,20000,0,"Rural poor, rural farmers","P/ Bag 665, Limbe",hungerproject@hungerproject.malawi.net; rowlands@hungerproject.malawi.net,1. To achieve a sustainable end to hunger and poverty through participatory exploration of long term strategies together with partner communities.,"1. Agricultural development – (crop/livestock diversification/production)._x000D_
_x000D_
2. Promotion of community Food Banks._x000D_
_x000D_
3. Small-scale irrigation._x000D_
_x000D_
4. Access to farm inputs._x000D_
_x000D_
5. Promotion of modern farming techniques._x000D_
_x000D_
6. Community capacity building through promotion of village extension multipliers known as Animators & VCA (Vision, Commitment & Action workshops). _x000D_
_x000D_
7. Provision of safe drinking water._x000D_
_x000D_
8. HIV/AIDS & Gender Inequality._x000D_
_x000D_
9. Adult Literacy._x000D_
_x000D_
10. Promotion of Early Education (nursery school)._x000D_
_x000D_
11. Micro-Finance._x000D_
_x000D_
12. Health & hygiene and Sanitation._x000D_
_x000D_
13. Food processing, storage & utilization._x000D_
_x000D_
14. Infrastructure development.","1. improved access to credit especially to women._x000D_
_x000D_
2. Increased number of girl children attending school._x000D_
_x000D_
3. Increased & consistent meal frequency from X to at least twice per day per household throughout the year._x000D_
_x000D_
4. Improved soil fertility._x000D_
_x000D_
5. Improved crop husbandry practices._x000D_
_x000D_
6. Improved access to farm inputs._x000D_
_x000D_
7. Improved access to safe drinking water._x000D_
_x000D_
8. Improved food processing techniques and better utilisation._x000D_
_x000D_
9. Improved sanitation._x000D_
_x000D_
10. Improved access to basic health services.","1. Meal frequencies._x000D_
_x000D_
2. Number of literate adults._x000D_
_x000D_
3. Number of girl children in school._x000D_
_x000D_
4. Number of men Vs women in leadership/elected positions._x000D_
_x000D_
5. Yield._x000D_
_x000D_
6. Distance to safe drinking water point._x000D_
_x000D_
7. Availability of basic health facilities._x000D_
_x000D_
8. Reduced spread of HIV._x000D_
_x000D_
9. Changes in gender relations between men & women._x000D_
_x000D_
10. Food gap months between harvests._x000D_
_x000D_
11. Income levels._x000D_
_x000D_
12. Change of mind set from dependency to self reliance.",03/01/1999,12/31/2010,01/20/2010,"Zomba, Chikwawa, Blantyre"
47,47,Rural Livelihoods Support Programme (RLSP),IFAD,IFAD,Single Donor,,16500000,5,43040,"10,562,000",5,09/12/2001,Ministry of Local Government and Rural Development (MLGRD),01 822 934/01 789 388,01 822 934/01 788 083,,32000,160000,"Female headed households, HIV/AIDS affected households,  landless, poor households"," PO. Box 2603, Blantyre",alexmalembo@yahoo.com; rlsp@africa-online.net,"1. The overall goal is sustainable poverty reduction through the promotion of on and off-farm and wage-based incomes. _x000D_
_x000D_
2. Promoting sustainable agricultural production and simple but efficient natural resources management technologies for improved food security._x000D_
_x000D_
3. Nutrition and agriculture-based incomes for better living conditions for the selected target groups._x000D_
_x000D_
4. Promoting the development of skills for selected target groups and availing financial support for both on and off-farm investments that will utilise the acquired skills to improve their incomes._x000D_
_x000D_
5. Promoting employment through support for infrastructure development to provide incomes especially during off-seasons._x000D_
_x000D_
6. Developing/improving individual and local community capacities and capabilities in terms of their organisation to access relevant resources to improve their livelihoods."," 1. Village Investment._x000D_
_x000D_
2. Abolish a dual system of local administration._x000D_
_x000D_
3. Promote accountability, good governance and popular participation in local development process._x000D_
_x000D_
4. Improve coordination among the ministries/departments operating at the district level._x000D_
_x000D_
5. Diversification of household incomes, with improved health and nutritional status of the target groups._x000D_
_x000D_
6. Support target groups with resources to invest in a series of activities that respond to their concerns and that use local opportunities as identified through the village planning process.","1.  Investments in Human Capital· All villagers empowered to express, act upon including seeking support in resolving matters of genuine concern to them._x000D_
_x000D_
2. District administration and service providers oriented towards helping all villagers to solve problems of concern._x000D_
_x000D_
3. Village Investments: Improved productivity of villagers’ assets· Poorest villagers’ asset based improved._x000D_
_x000D_
4.  Programme Management and Co-ordination.._x000D_
_x000D_
5. Effective management and co-ordination of 1-3 above, which involves ensuring transparency in operations, accountability in local resource use and timely follow-up. _x000D_
_x000D_
6. Effective management of resources, direction on modes of operation downwards and upwards reporting to Govt. and IFAD.","1. Number, nature & ‘inclusivity’ of problems and proposals identified by the villagers._x000D_
_x000D_
2. Degree of success of activities in solving problems identified by villagers._x000D_
_x000D_
3. Level, composition, targeting, quality and client judgement of benefits of investments._x000D_
_x000D_
4. Publication of fund use & achievements._x000D_
_x000D_
5. Resource use compliance and achievements._x000D_
_x000D_
6. Indicators of financial, technical and social success._x000D_
_x000D_
7. Remarks in Supervision Reports.",08/30/2004,03/31/2014,02/22/2010,"Thyolo, Nsanje, Chiradzulu"
48,48,Wellness and Agriculture for Life Advancement (WALA),USAID,Children Investment Fund Foundation,,Ministry of Agriculture and Food Security (MoAFS),80700000,5,31150,0,3,07/01/2009,"Africare, CRS, Emmanuel International, Salvation Army, Project Concern International, Save the Children, World Vision (WVM)",01 754 011/05/09,01 754 012,www.USAID.org/mw,214974,0,Chronically food insecure households,"ABLE House, hannover Avenue, Box 142, Blantyre",akebede@walamalawi.org; tjose@walamalawi.org,To improve the food security of chronically food insecure households in 39 TAs within 5 livelihood zones in Southern Malawi,"1. Access to high quality seeds _x000D_
_x000D_
2. Agronomy _x000D_
_x000D_
3. Soil and water conservation_x000D_
_x000D_
4.Small scale  Irrigation, _x000D_
_x000D_
5. Crop diversification_x000D_
_x000D_
6. HIV and AIDs mitigation _x000D_
_x000D_
7. Gender equality and environmental protection","1. Improved health and nutrition practices._x000D_
_x000D_
2. Farmers are linked to health, nutrition and HIV and AIDs services_x000D_
_x000D_
3. Farmers expand their knowledge, skills and capabilities to promote behaviour change _x000D_
_x000D_
4. Increased cultivation of nutritious foods_x000D_
_x000D_
5. Improved nutrition uptake by farmers through food processing_x000D_
_x000D_
6. Increased savings by communities_x000D_
_x000D_
7. Improved food security","1. Percentage increase real household income_x000D_
_x000D_
2. Percentage increase in total annual energy/staple food crop production_x000D_
_x000D_
3. Percentage of households with energy food reserves in critical months (Dec – March)",07/01/2009,06/30/2014,02/08/2010,"Mulanje, Chikwawa, Zomba, Machinga, Nsanje, Balaka, Thyolo"
49,49,Integrated Food Security Programme (Save the children US),DFID,Tearfund(UK),,,8450000,3,31161,"5,623,000",3,10/01/2003,"Evangelical Association of Malawi (EAM), Assemblies of God (AGRES),",01 726 656/09 340 839,01 725107,,4362,22000,Rural farmers," P.O. Box 30296, Lilongwe 3", eaom@malawi.net,"1. To reduce causes of food insecurity for rural farmers in four communities in Chikwawa, Mchinji, Mzimba and Nsanje.","1. Food Security._x000D_
_x000D_
2. Basic Education (Pre-school and Adult Literacy).","1. Diversification of crops produced and eaten_x000D_
Improved storage of harvest._x000D_
_x000D_
2. Envisioned Church and Community for social action._x000D_
_x000D_
3. Capacity building of implementing partners.","1. Baseline surveys conducted in all four areas._x000D_
_x000D_
2. Amount and number of crop types harvested._x000D_
_x000D_
3. Number of adult learners graduating._x000D_
_x000D_
4. Amount of agricultural inputs distributed.",10/01/2003,04/01/2010,02/24/2010,"Mzimba, Mchinji, Chikwawa, Nsanje"
50,50,Nayuchi Area Development Programme,World Vision Australia,World Vision Australia,,,120000,5,43040,"43,143",3,10/01/2009,World Vision Malawi (WVM),01 542 381/08 837 381,01 542 346,www.wvi.org,1000,0,Households with under 5 children,"Private Bag 20, Liwonde",precious_chizonda@wvi.org,1. To improve survival and growth of under 5 children.,"1. Food production. _x000D_
_x000D_
2. Food processing,  preparation, preservation._x000D_
_x000D_
3. Small livestock programme.","1. Nutritional status of under 5 children, lactating mothers and pregnant mothers improved",1. Percentage reduction in death in under 5 children,10/01/2009,10/30/2010,02/08/2010,Machinga
51,51,Nthondo Area Development Programme,World Vision USA,World Vision USA,,,60000,5,43040,"47,400",2,10/01/1995,World Vision Malawi (WVM),01 285 322,01 285 322,www.wvi.org,200,1000,"Rural Farmers, Women, Orphans","Private Bag 41, Ntchisi",mazunzo_dhaka@wvi.org,1. Improved quality of life for Nthondo Community,"1. Food Security._x000D_
_x000D_
2. Small scale irrigation._x000D_
_x000D_
3. Livestock breeding programme.","1. Permanent irrigation structures with concrete diversion dams constructed at Mchere, Nkhotamo and Thendo _x000D_
_x000D_
2.  Stud breeding centres for goat production established _x000D_
_x000D_
3. 100 households supported with farm inputs on a revolving loan scheme.","1. Number of irrigation permanent structures constructed._x000D_
_x000D_
2. Number of improved breeds produced._x000D_
_x000D_
3. Number of household supported.",10/01/1995,09/30/2010,01/08/2010,Ntchisi
52,52,Mkhumba Area Development Programme,World Vision Germany,World Vision Germany,,,107178,5,43040,"50,874",3,10/01/2004,World Vision Malawi (WVM),01 466 504,01 466 504,www.wvi.org,1000,5000,Rural farmers,"P.O Box 2050, Blantyre",maxwell_litafula@wvi.org,1. To improve food security and livelihoods of mkhumba area,"1. Crop production._x000D_
_x000D_
2. Soil and water conservation._x000D_
_x000D_
3. Livestock production","1. Household have food year round._x000D_
_x000D_
2. Households supported with agro forestry and afforestration._x000D_
_x000D_
3. Livestock production improved","1. Number of households supported with high yielding crop varieties._x000D_
_x000D_
2. Number of household reached with post harvest extension services_x000D_
_x000D_
3. Number if households supported with agroforestry and afforestration_x000D_
_x000D_
4. Number of households owning livestock and chickens",10/01/2004,09/30/2014,02/22/2010,Phalombe
53,53,Midzemba Area Development Programme,World Vision Hong Kong,World Vision Hong Kong,,,99915,5,43040,"43,643",3,10/01/2004,World Vision Malawi (WVM), 01 870 740/734, 01 870 740,www.wvi.org,2850,,"Rural farmers, women, children and orphans","C/O Box 2050, Blantyre",innocent_pendame@wvi.org,1. To improve household food security,"1. Livestock production._x000D_
_x000D_
2. Crop production._x000D_
_x000D_
3. Agri-produce marketing.","1. Farm inputs distributed_x000D_
_x000D_
2. Improved livestock production._x000D_
_x000D_
3. Microfinance institutions established_x000D_
_x000D_
4. Networking and coordination with other stakeholders strengtherned","1. Number of households supplied with  livestock._x000D_
_x000D_
2. Number of households access farm inputs._x000D_
_x000D_
3. Number of stakeholders networking._x000D_
_x000D_
4. Number of micro finance institutions established",10/01/2009,09/30/2010,02/08/2010,Neno
54,54,Mutendere Area Development Programme,World Vision USA,World Vision USA,,,1245020,5,43040,"889,950",3,10/01/2005,World Vision Malawi (WVM),01 342 261/01 334 673,01 342 261,www.wvi.org,2500,,"Rural smallholder farmers, orphans","P/Bag 29, Mzimba",george_german@wvi.org,"1. To improve food security at household level._x000D_
_x000D_
2. To improve incomes of rural poor.","1. Crop diversification._x000D_
_x000D_
2. Food processing._x000D_
_x000D_
3. Livestock farming._x000D_
_x000D_
4. Collective marketing._x000D_
_x000D_
5. Small scale irrigation._x000D_
_x000D_
6. Soil and water conservation.","1. Improved food production for the 2500 households._x000D_
_x000D_
2. Improved household income for 2500 households._x000D_
_x000D_
3. Enhanced nutritional status of infants and young children_x000D_
_x000D_
4. Smallscale irrigation developed","1. Percentage increase of households with food reserves in critical months._x000D_
_x000D_
2. Percentage reduction in levels of malnutrition._x000D_
_x000D_
3. Percentage increase in real households income.",10/01/1995,09/10/2011,02/08/2010,Mzimba
55,55,Mlonyeni Area Development Programme,World Vision Canada,World Vision Canada,,,130000,5,43040,"42,000",3,01/01/1996,World Vision Malawi (WVM),01 242 313,01 242 313,www.wvi.org,5569,30000,Smallholder farmers,"P/ Bag 19, Mchinji",Lamech_chimpero@wvi.org,1. To improve food and nutrition security at household level.,"1. Nutrition._x000D_
_x000D_
2. Food security._x000D_
_x000D_
3. Civil society","1. Improved household nutrition in under 5 children and pregnant mothers._x000D_
_x000D_
2. Improved post harvest management and marketing._x000D_
_x000D_
3. Enhancing afforestation for soil conservation and environmental conservation._x000D_
_x000D_
4. Improving livestock production at household level","1. Increased average real income_x000D_
_x000D_
2. Percentage reduction in malnutrition levels._x000D_
_x000D_
3. Percentage increase inhousehold with adequate food in critical months .",10/01/1996,09/01/2012,02/08/2010,Mchinji
56,56,Mdunga Kasiya Area Development Programme,World Vision Canada,World Vision Canada,,,5313128,5,43040,"4,834,332",3,10/01/1992,World Vision Malawi (WVM),01 253 419,01 253 650,www.wvi.org,7540,30800,"Rural farmers, children, orphans","P/B 57, Kasungu",immaculate_bottoman@wvi.org,1. Improved quality of life for Mdunga/Kasiya people,"1. Food Security_x000D_
_x000D_
2. Health_x000D_
_x000D_
3. Nutrition_x000D_
_x000D_
4. HIV/AIDS _x000D_
_x000D_
5. Civil society","1.  Improve food security for 80% of  households of MdungaKasiya_x000D_
_x000D_
2. Improve health and Nutritional status of 49% of households of MdungaKasiya _x000D_
_x000D_
3. Reduce impact of HIV/AIDS on children in 40% of households of MdungaKasiya _x000D_
_x000D_
4. Improve capacity of local institutions in managing development work in MdungaKasiya area","1. Percentage of HHs with energy food reserves in critical months (December to March)_x000D_
_x000D_
2. Percentage increase in real income per capita_x000D_
_x000D_
3. Percentage of farm families adopting and practicing soil and water corservation technologies_x000D_
_x000D_
4. Number of functional and effective farmer association_x000D_
_x000D_
5. Percentage communities with access to clean water_x000D_
_x000D_
6. Percentage children who have all the vaccines recommended by the country’s protocol_x000D_
_x000D_
7. Percentage of children 0 – 5 years receiving minimum dietary diversity_x000D_
_x000D_
8. Percentage of people infected by age group, sex_x000D_
_x000D_
9. Number of local instutions that have developed & able to successfully implement plans",10/01/1992,09/30/2012,02/11/2010,Kasungu
57,57,Namatumbi/Kanyenjere Area Development Programme Food Security,World Vision Canada,World Vision Canada,,,61457,5,43040,"16,477",3,10/01/2009,World Vision Malawi (WVM),01 382 307,01 382 308,www.wvi.org,2200,28000,"Rural farmers, orphans, women","P/Bag 3, Chitipa",rachel_kathyanga@wvi.org,To improve household food security and livelihood for farmers in Namatubi/Kanyenjere area,"1. Nutrition._x000D_
_x000D_
2. Food security._x000D_
_x000D_
3. Disaster management","1. Improved levels of ntrient intake_x000D_
_x000D_
2. Crop diversified._x000D_
_x000D_
3. Income improved","1. Percentage increase in real income._x000D_
_x000D_
2. Number of farmilies with adequate food during lean period.",06/01/1997,09/30/2012,02/11/2010,Chitipa
